,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score.C#,tech_self_score.Java,tech_self_score.R,tech_self_score.JavaScript,tech_self_score.Python,tech_self_score.C++,tech_self_score.Ruby,tech_self_score.SPSS,tech_self_score.PHP
160,Burnard Fielden,21/08/2019,['Independent'],"['Slow', 'Indifferent', 'Selfish']",Yes,No,Yes,Fail,Data,2.0,,,,5.0,,,2.0,
161,Valle Humby,21/08/2019,['Competitive'],"['Perfectionist', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering,1.0,,,2.0,2.0,,2.0,5.0,
162,Jillie Howles,27/08/2019,"['Consistent', 'Independent', 'Composure']",['Chaotic'],Yes,Yes,No,Fail,Data,,5.0,,,,,2.0,4.0,1.0
163,Chucho Galfour,13/08/2019,"['Problem Solving', 'Ambitious', 'Courteous']","['Chatty', 'Procrastination', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering,,2.0,7.0,,1.0,,,2.0,
164,Orland Glaisner,13/08/2019,"['Charisma', 'Courteous', 'Collaboration']","['Distracted', 'Critical', 'Competitive']",Yes,Yes,Yes,Pass,Engineering,,,,2.0,,,,,
165,Luz Gasparro,08/08/2019,"['Creative', 'Listening', 'Altruism']","['Anxious', 'Critical']",Yes,Yes,Yes,Pass,Engineering,,,,,3.0,,,,1.0
166,Melesa Mault,07/08/2019,"['Altruism', 'Problem Solving', 'Versatile']",['Competitive'],Yes,No,Yes,Fail,Data,,5.0,,,,,,1.0,
167,Trudie Kiellor,06/08/2019,"['Collaboration', 'Curious', 'Passionate']",['Intolerant'],Yes,Yes,Yes,Pass,Data,,,,,3.0,,,,
168,Nancie Sazio,15/08/2019,['Altruism'],"['Overbearing', 'Selfish']",Yes,Yes,Yes,Pass,Engineering,,,3.0,,,,,,4.0
169,Welby Wishkar,14/08/2019,"['Problem Solving', 'Passionate']",['Competitive'],Yes,Yes,Yes,Fail,Business,,7.0,,,,3.0,3.0,,4.0
170,Carce Capel,28/08/2019,"['Courteous', 'Versatile', 'Organisation']",['Undisciplined'],No,Yes,Yes,Fail,Business,,,1.0,2.0,5.0,3.0,,2.0,1.0
171,Oralia Barrat,27/08/2019,"['Composure', 'Patient']",['Introverted'],Yes,Yes,Yes,Pass,Data,2.0,,3.0,,,,,,
172,Katuscha Ransfield,07/08/2019,"['Altruism', 'Innovative']",['Introverted'],Yes,No,Yes,Fail,Engineering,5.0,4.0,,2.0,,3.0,3.0,,
173,Norene Fierro,01/08/2019,"['Efficient', 'Empathy']",['Stubborn'],Yes,No,Yes,Fail,Business,,,,,6.0,3.0,,,
174,Mylo Sudell,06/08/2019,"['Creative', 'Critical Thinking']",['Passive'],Yes,Yes,Yes,Pass,Data,,,1.0,,,,,,
175,Shannon Hartman,21/08/2019,"['Collaboration', 'Problem Solving']",['Indecisive'],Yes,Yes,Yes,Fail,Engineering,1.0,,,1.0,,2.0,2.0,2.0,
176,Blakeley Strood,06/08/2019,"['Empathy', 'Competitive']",['Procrastination'],Yes,Yes,Yes,Pass,Data,,,,,3.0,,,3.0,
177,Rafi Downse,21/08/2019,"['Rational', 'Innovative', 'Versatile']","['Introverted', 'Undisciplined', 'Stubborn']",Yes,Yes,Yes,Pass,Engineering,,1.0,8.0,1.0,2.0,,3.0,3.0,
178,Demetrius Tunstall,07/08/2019,['Collaboration'],"['Competitive', 'Introverted', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering,2.0,,,,,,,2.0,
179,Melinde Darton,21/08/2019,['Courteous'],"['Controlling', 'Critical', 'Conventional']",Yes,Yes,Yes,Pass,Business,,,,4.0,,,,,
180,Dulcea Perl,22/08/2019,"['Creative', 'Empathy', 'Innovative']",['Distracted'],Yes,Yes,Yes,Pass,Engineering,4.0,,,5.0,,,,,
181,Milton Conaghan,08/08/2019,"['Collaboration', 'Consistent']","['Distracted', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering,5.0,2.0,1.0,1.0,,4.0,,,4.0
182,Chere Siddens,29/08/2019,"['Competitive', 'Listening', 'Curious']","['Sensitive', 'Competitive']",No,Yes,No,Fail,Business,,5.0,,,,,,,
183,Putnem Hessing,08/08/2019,"['Independent', 'Critical Thinking']","['Chatty', 'Perfectionist', 'Critical']",Yes,Yes,Yes,Pass,Data,4.0,,,,,1.0,5.0,1.0,
184,Timmi Haveline,22/08/2019,"['Curious', 'Reliable', 'Competitive']",['Sensitive'],Yes,Yes,Yes,Pass,Business,3.0,,,,,,,,
185,Garald Banasevich,08/08/2019,['Creative'],"['Selfish', 'Perfectionist', 'Anxious']",Yes,Yes,Yes,Pass,Data,2.0,3.0,5.0,,,3.0,3.0,,
186,Anselma Pavelin,21/08/2019,['Organisation'],['Distracted'],Yes,Yes,Yes,Fail,Business,,5.0,,1.0,,,,,2.0
187,Querida Antonacci,29/08/2019,['Problem Solving'],['Introverted'],Yes,Yes,Yes,Pass,Data,,,7.0,1.0,6.0,4.0,1.0,,
188,Leda Aharoni,13/08/2019,"['Competitive', 'Consistent']","['Immature', 'Impatient', 'Distracted']",Yes,Yes,Yes,Pass,Business,4.0,,,3.0,4.0,,,,3.0
189,Norri Temby,27/08/2019,"['Listening', 'Organisation', 'Consistent']","['Controlling', 'Passive']",Yes,Yes,Yes,Pass,Engineering,,5.0,,,,,,5.0,
190,Margery Winspur,07/08/2019,['Independent'],"['Impulsive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,1.0,4.0,,,1.0,,,,1.0
191,Bord Ollin,14/08/2019,['Innovative'],"['Stubborn', 'Competitive', 'Passive']",Yes,Yes,No,Fail,Business,2.0,,5.0,5.0,,,,,
192,Dodie Lassells,27/08/2019,['Critical Thinking'],"['Stubborn', 'Immature']",Yes,Yes,Yes,Pass,Data,,1.0,2.0,2.0,2.0,3.0,2.0,,
193,Corie Snodin,22/08/2019,"['Reliable', 'Determined', 'Consistent']","['Anxious', 'Conventional']",Yes,Yes,No,Fail,Data,1.0,,,3.0,,4.0,,1.0,
194,Arron Cuerdall,08/08/2019,"['Efficient', 'Creative']","['Indifferent', 'Impatient']",Yes,Yes,Yes,Pass,Engineering,,1.0,,,,,,,3.0
195,Josh Youens,08/08/2019,['Listening'],"['Sensitive', 'Anxious', 'Indecisive']",Yes,Yes,Yes,Pass,Engineering,,5.0,,,4.0,,,3.0,
196,Aldo Bradnum,27/08/2019,['Consistent'],"['Distracted', 'Conventional', 'Chaotic']",Yes,Yes,Yes,Pass,Engineering,1.0,,2.0,,,3.0,3.0,2.0,2.0
197,Xymenes Pretor,07/08/2019,"['Organisation', 'Ambitious']","['Selfish', 'Sensitive', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering,,1.0,,1.0,,3.0,,,
198,Heinrik Allwell,08/08/2019,"['Collaboration', 'Efficient', 'Organisation']","['Critical', 'Competitive']",Yes,Yes,Yes,Pass,Business,,2.0,,,,,,1.0,
199,Bob Rogerson,07/08/2019,['Efficient'],"['Stubborn', 'Introverted']",Yes,Yes,Yes,Pass,Data,1.0,2.0,,3.0,4.0,,1.0,6.0,
200,Neall Mayor,07/08/2019,"['Independent', 'Competitive', 'Consistent']",['Overbearing'],Yes,Yes,No,Fail,Data,1.0,3.0,1.0,,,4.0,,,2.0
201,Ilysa Kiggel,07/08/2019,['Consistent'],"['Slow', 'Indecisive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,2.0,,,,4.0,,,,3.0
202,Melisse Craze,20/08/2019,"['Rational', 'Courteous', 'Efficient']",['Selfish'],Yes,Yes,Yes,Fail,Data,5.0,5.0,,,3.0,4.0,,,
203,Petronille Dougharty,29/08/2019,"['Courteous', 'Passionate']","['Introverted', 'Immature', 'Sensitive']",No,Yes,Yes,Fail,Business,,6.0,,4.0,,,,,
204,Urbano Reinisch,13/08/2019,"['Courteous', 'Ambitious', 'Organisation']","['Immature', 'Perfectionist', 'Distracted']",Yes,Yes,Yes,Pass,Engineering,,3.0,,,1.0,,,3.0,
205,Noami Edworthye,20/08/2019,"['Collaboration', 'Patient', 'Determined']",['Impatient'],No,Yes,Yes,Fail,Business,4.0,2.0,2.0,3.0,3.0,,2.0,,
206,Cynthia Jenny,06/08/2019,"['Ambitious', 'Empathy']","['Immature', 'Conventional']",Yes,No,Yes,Fail,Business,2.0,,,4.0,,,4.0,,
207,Ivett Prop,22/08/2019,"['Organisation', 'Altruism']","['Distracted', 'Immature', 'Overbearing']",Yes,Yes,Yes,Pass,Business,1.0,1.0,,3.0,,,,,
208,Lamond Levensky,13/08/2019,['Problem Solving'],"['Anxious', 'Impatient', 'Sensitive']",Yes,Yes,Yes,Pass,Data,1.0,1.0,,6.0,6.0,,,,
209,Estevan Bartalini,21/08/2019,"['Altruism', 'Rational', 'Collaboration']",['Stubborn'],Yes,Yes,Yes,Pass,Engineering,,,1.0,,2.0,,,4.0,3.0
210,Redford Bubbings,15/08/2019,"['Rational', 'Curious', 'Courteous']",['Procrastination'],No,Yes,Yes,Fail,Engineering,,4.0,2.0,,,,1.0,,
211,Redford Bubbings,15/08/2019,"['Rational', 'Curious', 'Courteous']",['Procrastination'],No,Yes,Yes,Fail,Engineering,,4.0,2.0,,,,1.0,,
212,Brandais Reiner,22/08/2019,"['Ambitious', 'Determined']",['Indecisive'],Yes,Yes,Yes,Pass,Business,,,3.0,1.0,,,,,1.0
213,Correy Clemont,28/08/2019,['Versatile'],"['Conventional', 'Overbearing']",Yes,No,Yes,Fail,Data,,1.0,,,,,,,
214,Starr Curcher,15/08/2019,['Consistent'],['Indifferent'],Yes,No,Yes,Fail,Business,,,4.0,4.0,1.0,,3.0,,
215,Rosaline Goldsmith,21/08/2019,['Empathy'],"['Selfish', 'Immature']",Yes,Yes,Yes,Pass,Engineering,,,,,,3.0,,4.0,
216,Chancey Climer,27/08/2019,"['Versatile', 'Critical Thinking']","['Critical', 'Distracted', 'Perfectionist']",Yes,Yes,Yes,Pass,Business,4.0,,,,1.0,2.0,,2.0,1.0
217,Gena Humbles,29/08/2019,"['Collaboration', 'Perfectionism', 'Independent']","['Stubborn', 'Conventional']",Yes,Yes,Yes,Pass,Engineering,,,1.0,,,1.0,,,
218,Madeleine Younglove,06/08/2019,['Organisation'],['Controlling'],Yes,No,Yes,Fail,Engineering,,,,2.0,,4.0,7.0,1.0,
219,Leonerd Scamel,08/08/2019,['Efficient'],['Controlling'],No,Yes,Yes,Fail,Engineering,,,,,5.0,,,,4.0
220,Balduin Culleton,13//08/2019,['Courteous'],"['Chaotic', 'Perfectionist', 'Critical']",Yes,Yes,Yes,Fail,Data,,,2.0,6.0,5.0,,,,
221,Oliy Ellar,13/08/2019,"['Rational', 'Courteous']","['Perfectionist', 'Distracted']",Yes,Yes,No,Fail,Engineering,,4.0,,7.0,,,,3.0,
222,Carena Nizet,08/08/2019,['Empathy'],['Immature'],Yes,Yes,Yes,Pass,Engineering,2.0,5.0,3.0,5.0,,,,,1.0
223,Theo Ottee,21/08/2019,"['Perfectionism', 'Innovative', 'Creative']","['Intolerant', 'Chatty', 'Perfectionist']",Yes,Yes,Yes,Pass,Engineering,,,,,,,,2.0,
224,Britt Summergill,28/08/2019,['Curious'],"['Introverted', 'Impatient', 'Stubborn']",Yes,Yes,Yes,Pass,Data,,,2.0,,,,,,
225,Nial Oret,13/08/2019,['Versatile'],"['Passive', 'Impatient', 'Introverted']",Yes,No,Yes,Fail,Data,2.0,4.0,,1.0,,,4.0,,1.0
226,Pegeen O'Lochan,15/08/2019,"['Independent', 'Patient', 'Passionate']",['Sensitive'],Yes,Yes,No,Fail,Business,,2.0,2.0,,,,3.0,1.0,1.0
227,Kingsley Hardaker,28/08/2019,['Altruism'],['Slow'],Yes,Yes,Yes,Pass,Business,,,,,,,,,1.0
228,Lorine Bignall,01/08/2019,['Listening'],['Stubborn'],Yes,Yes,Yes,Fail,Business,,,,,,2.0,,1.0,
229,Christian Bingley,13/08/2019,"['Independent', 'Listening']","['Anxious', 'Introverted', 'Conventional']",Yes,Yes,Yes,Pass,Data,,,,4.0,,,,,
230,Ad Do,21/08/2019,"['Curious', 'Ambitious', 'Patient']",['Perfectionist'],Yes,Yes,Yes,Pass,Engineering,5.0,1.0,1.0,,,1.0,,,
231,Beret Devonside,15/08/2019,['Listening'],"['Undisciplined', 'Indifferent', 'Immature']",Yes,Yes,No,Fail,Business,,,,6.0,,3.0,,,1.0
232,Denyse Weth,22/08/2019,"['Patient', 'Competitive']",['Perfectionist'],Yes,Yes,Yes,Pass,Business,,,,,,,,2.0,
233,Deirdre Van Den Velde,01/08/2019,['Perfectionism'],['Competitive'],Yes,Yes,Yes,Pass,Engineering,3.0,,,,,,3.0,,3.0
234,Bevon Mustill,15/08/2019,"['Perfectionism', 'Competitive']","['Chaotic', 'Competitive', 'Controlling']",No,No,Yes,Fail,Engineering,1.0,1.0,2.0,,2.0,1.0,5.0,4.0,
235,Ruthe Adolthine,01/08/2019,"['Charisma', 'Creative', 'Curious']","['Selfish', 'Immature']",Yes,Yes,No,Fail,Data,6.0,,,,,2.0,,,
236,Vaughn Wallington,27/08/2019,['Curious'],"['Introverted', 'Sensitive', 'Chaotic']",Yes,Yes,Yes,Pass,Business,,,,7.0,3.0,,,,
237,Matty Ceney,08/08/2019,"['Ambitious', 'Patient']","['Procrastination', 'Passive', 'Slow']",Yes,Yes,Yes,Pass,Engineering,3.0,2.0,,5.0,,2.0,,2.0,
238,Rubia Espy,08/08/2019,"['Determined', 'Collaboration']","['Critical', 'Anxious']",Yes,Yes,Yes,Pass,Business,,1.0,,,1.0,,,,
239,Meridel Dearell,21/08/2019,"['Curious', 'Perfectionism']","['Anxious', 'Procrastination']",Yes,Yes,Yes,Pass,Data,,,,,,5.0,1.0,,
240,Noelyn Sinkin,21/08/2019,"['Determined', 'Patient', 'Critical Thinking']","['Indifferent', 'Slow']",Yes,Yes,Yes,Pass,Business,,,,,2.0,4.0,,,
241,Mozelle Grinnov,20/08/2019,"['Courteous', 'Patient']","['Passive', 'Chatty']",Yes,Yes,Yes,Pass,Engineering,,,,,3.0,,1.0,,
242,Christyna Arkill,21/08/2019,['Courteous'],['Conventional'],Yes,Yes,Yes,Pass,Data,2.0,,6.0,3.0,,6.0,,2.0,
243,Kain Lowne,29/08/2019,"['Organisation', 'Empathy', 'Innovative']",['Anxious'],Yes,Yes,Yes,Pass,Data,4.0,4.0,,3.0,4.0,,5.0,,2.0
244,Mitchel Blackesland,14/08/2019,"['Determined', 'Critical Thinking', 'Ambitious']","['Impatient', 'Intolerant', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,,5.0,,7.0,3.0,,3.0,,2.0
245,Albie Lyon,22/08/2019,"['Problem Solving', 'Patient', 'Ambitious']","['Controlling', 'Slow', 'Indecisive']",Yes,Yes,Yes,Pass,Data,4.0,,4.0,5.0,,,,,1.0
246,Farand Rotlauf,20/08/2019,['Perfectionism'],['Selfish'],Yes,Yes,Yes,Pass,Engineering,6.0,7.0,6.0,1.0,,,,6.0,
247,Bo Fargie,28/08/2019,['Altruism'],['Impatient'],Yes,Yes,Yes,Pass,Engineering,,,,,5.0,4.0,2.0,2.0,
248,Arch Cookley,20/08/2019,"['Innovative', 'Listening', 'Courteous']","['Competitive', 'Overbearing']",Yes,No,Yes,Fail,Engineering,,,,3.0,3.0,1.0,6.0,,
249,Martica Cawse,08/08/2019,['Creative'],"['Introverted', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering,,,,,,,,1.0,1.0
250,Nancie Mehaffey,08/08/2019,"['Efficient', 'Independent', 'Critical Thinking']","['Intolerant', 'Selfish', 'Passive']",Yes,Yes,Yes,Pass,Data,,,,,,6.0,6.0,3.0,
251,Donnamarie Schofield,15/08/2019,['Ambitious'],['Passive'],Yes,Yes,Yes,Pass,Data,3.0,,,,2.0,4.0,5.0,,
252,Erda Liddel,06/08/2019,['Altruism'],['Anxious'],Yes,No,Yes,Fail,Business,,,,2.0,,3.0,,,
253,Alister Bru,07/08/2019,"['Organisation', 'Composure', 'Reliable']","['Critical', 'Distracted', 'Introverted']",Yes,Yes,Yes,Pass,Engineering,,,,,,,,,
254,Sigismund Izkovici,15/08/2019,"['Problem Solving', 'Charisma', 'Collaboration']",['Overbearing'],Yes,Yes,Yes,Pass,Engineering,,1.0,,,,,,,2.0
255,Star Jurges,01/08/2019,"['Patient', 'Listening']","['Competitive', 'Impatient']",Yes,Yes,Yes,Pass,Data,6.0,,,,1.0,,,5.0,
256,Pauly Gillbee,28/08/2019,"['Problem Solving', 'Listening']",['Stubborn'],Yes,Yes,Yes,Pass,Business,,,,,2.0,,3.0,,
257,Stan Forkan,01/08/2019,"['Creative', 'Versatile']","['Chatty', 'Procrastination', 'Chaotic']",Yes,Yes,Yes,Fail,Data,1.0,,,,,,4.0,,
258,Brinn Trewhela,06/08/2019,"['Consistent', 'Altruism']","['Slow', 'Indifferent', 'Anxious']",Yes,Yes,Yes,Pass,Business,4.0,,,,,1.0,,3.0,2.0
259,Rodrigo Endrighi,14/08/2019,['Competitive'],"['Competitive', 'Impulsive', 'Conventional']",Yes,Yes,Yes,Pass,Data,3.0,1.0,2.0,,,2.0,,1.0,
260,Tansy Dukelow,20/08/2019,"['Altruism', 'Curious']","['Procrastination', 'Indifferent']",Yes,No,Yes,Fail,Engineering,3.0,,,,2.0,3.0,,,2.0
261,Sean Ovise,27/08/2019,['Problem Solving'],['Conventional'],Yes,Yes,Yes,Pass,Engineering,,2.0,,,1.0,4.0,,,
262,Anselma Pawlett,21/08/2019,['Innovative'],"['Selfish', 'Immature']",Yes,Yes,Yes,Pass,Data,,,1.0,4.0,1.0,5.0,,,
263,Kerrie Rosi,22/08/2019,"['Empathy', 'Independent', 'Critical Thinking']","['Competitive', 'Conventional']",Yes,Yes,Yes,Pass,Business,7.0,,4.0,,,,,1.0,
264,Dorothy Hailwood,15/08/2019,['Versatile'],['Introverted'],Yes,No,Yes,Fail,Business,5.0,1.0,2.0,7.0,,4.0,5.0,1.0,
265,Jodie Kaygill,01/08/2019,"['Consistent', 'Altruism']","['Competitive', 'Overbearing', 'Selfish']",Yes,Yes,Yes,Pass,Data,1.0,,3.0,,1.0,2.0,,1.0,2.0
266,Jim Dwerryhouse,27/08/2019,['Problem Solving'],"['Perfectionist', 'Sensitive']",Yes,Yes,Yes,Pass,Business,2.0,3.0,,,3.0,,,,
267,Delinda Conybear,01/08/2019,"['Passionate', 'Organisation', 'Critical Thinking']","['Procrastination', 'Controlling', 'Sensitive']",Yes,Yes,Yes,Pass,Data,,,,,3.0,,2.0,,3.0
268,Norby Burle,21/08/2019,"['Competitive', 'Versatile']",['Overbearing'],No,No,Yes,Fail,Business,,,5.0,,3.0,,5.0,,
269,Robinet Renwick,15/08/2019,['Courteous'],"['Procrastination', 'Distracted', 'Indifferent']",Yes,Yes,Yes,Pass,Business,1.0,4.0,,,2.0,,,,
270,Perry Richemond,08/08/2019,"['Problem Solving', 'Rational']","['Perfectionist', 'Overbearing', 'Critical']",Yes,Yes,Yes,Pass,Data,1.0,,,5.0,,,,,4.0
271,Carlyn Reisin,14/08/2019,"['Consistent', 'Creative', 'Organisation']","['Immature', 'Impatient', 'Sensitive']",Yes,Yes,Yes,Pass,Business,1.0,4.0,,2.0,5.0,5.0,2.0,3.0,
272,Horatius Starking,08/08/2019,['Consistent'],"['Selfish', 'Introverted', 'Slow']",Yes,Yes,No,Fail,Business,3.0,,,2.0,,5.0,,,1.0
273,Leoline Vigietti,07/08/2019,"['Determined', 'Patient']","['Intolerant', 'Immature']",Yes,Yes,Yes,Pass,Business,,,1.0,,,,,,1.0
274,Rudolf Maple,21/08/2019,['Listening'],"['Chatty', 'Intolerant', 'Passive']",Yes,Yes,Yes,Pass,Data,,,,,4.0,,,,
275,Alwin Bullman,07/08/2019,"['Charisma', 'Perfectionism', 'Rational']",['Controlling'],Yes,Yes,Yes,Pass,Data,,2.0,,,4.0,2.0,2.0,2.0,
276,Shae Ainslie,15/08/2019,['Innovative'],"['Chaotic', 'Slow']",Yes,Yes,Yes,Pass,Business,3.0,,3.0,,3.0,4.0,4.0,4.0,
277,Ciel Poizer,14/08/2019,"['Listening', 'Curious']","['Sensitive', 'Conventional', 'Immature']",No,Yes,Yes,Fail,Business,5.0,,,,,,,2.0,
278,Matteo Yeowell,01/08/2019,"['Versatile', 'Empathy']","['Overbearing', 'Sensitive', 'Selfish']",Yes,Yes,Yes,Pass,Business,,,4.0,,,6.0,2.0,,3.0
279,Saundra Fuzzens,28//08/2019,"['Passionate', 'Efficient', 'Charisma']","['Procrastination', 'Slow', 'Overbearing']",Yes,Yes,Yes,Fail,Business,3.0,,5.0,,6.0,,3.0,,
280,Denise Oppy,21/08/2019,"['Courteous', 'Independent']",['Sensitive'],Yes,Yes,Yes,Pass,Engineering,4.0,,6.0,7.0,,,,,2.0
281,Didi Stronough,29/08/2019,['Reliable'],"['Slow', 'Anxious']",Yes,Yes,Yes,Pass,Engineering,2.0,,,,1.0,,,,
282,Tarrah Bunny,07/08/2019,['Altruism'],"['Perfectionist', 'Distracted']",Yes,Yes,Yes,Pass,Business,6.0,,,,,,,,
283,Bondon Josselson,15/08/2019,['Innovative'],"['Introverted', 'Chatty']",Yes,No,Yes,Fail,Engineering,,2.0,6.0,,,,,,
284,Denny Begg,08/08/2019,"['Altruism', 'Charisma']",['Introverted'],Yes,Yes,Yes,Pass,Data,6.0,7.0,,,2.0,,4.0,3.0,4.0
285,Clim Lovie,29/08/2019,"['Creative', 'Empathy']","['Undisciplined', 'Slow']",Yes,Yes,Yes,Fail,Business,,,,3.0,,,1.0,,
286,Wolf Radolf,08/08/2019,"['Listening', 'Determined']","['Indifferent', 'Chatty']",Yes,Yes,Yes,Pass,Engineering,4.0,3.0,2.0,,,,1.0,4.0,
287,Ferrel Lissandrini,29/08/2019,"['Creative', 'Ambitious']",['Slow'],Yes,Yes,Yes,Fail,Business,,,2.0,,2.0,,,,
288,Carlos Gerckens,01/08/2019,"['Collaboration', 'Ambitious']","['Intolerant', 'Stubborn', 'Anxious']",Yes,Yes,Yes,Pass,Data,,4.0,,7.0,,1.0,,,
289,Blake Nunson,01/08/2019,"['Reliable', 'Determined']","['Competitive', 'Indifferent', 'Controlling']",Yes,Yes,Yes,Pass,Engineering,,1.0,,,1.0,3.0,,,
290,Paula Danielsen,22/08/2019,"['Altruism', 'Listening', 'Problem Solving']",['Impulsive'],Yes,Yes,No,Fail,Business,,2.0,,,,3.0,1.0,,2.0
291,Brose Menghi,06/08/2019,"['Rational', 'Listening', 'Organisation']","['Passive', 'Slow']",Yes,Yes,Yes,Pass,Engineering,3.0,3.0,,,,,,,
292,Junia Collins,29/08/2019,"['Composure', 'Collaboration']",['Slow'],Yes,Yes,Yes,Pass,Data,,4.0,,,2.0,,,,1.0
293,Jule Corke,29/08/2019,"['Listening', 'Reliable', 'Passionate']",['Undisciplined'],Yes,Yes,No,Fail,Engineering,1.0,1.0,2.0,,1.0,,,,
294,Matteo Cornewell,27/08/2019,['Composure'],"['Impatient', 'Undisciplined']",Yes,Yes,Yes,Pass,Business,,1.0,,,,,,,
295,Sid Libbie,01/08/2019,"['Competitive', 'Ambitious']","['Chaotic', 'Sensitive']",Yes,Yes,No,Fail,Engineering,,,,2.0,,1.0,3.0,,
296,Rhody Cushion,27/08/2019,"['Listening', 'Reliable', 'Efficient']","['Passive', 'Introverted']",Yes,Yes,Yes,Pass,Business,2.0,8.0,,,,,,1.0,
297,Chester Hanselmann,07/08/2019,['Creative'],"['Passive', 'Controlling']",Yes,Yes,No,Fail,Data,,1.0,1.0,,4.0,2.0,5.0,2.0,3.0
298,Courtney Wenman,28/08/2019,"['Composure', 'Innovative']","['Passive', 'Indifferent', 'Competitive']",No,Yes,Yes,Fail,Engineering,,2.0,2.0,,,1.0,1.0,1.0,5.0
299,Vaclav Ortler,20/08/2019,['Composure'],"['Indifferent', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,,,,,1.0,4.0,1.0,3.0,
300,Mariquilla Cowope,14/08/2019,['Rational'],"['Impulsive', 'Anxious', 'Sensitive']",Yes,Yes,Yes,Fail,Business,,2.0,,,,,,3.0,1.0
301,Joey Macgeffen,14/08/2019,['Organisation'],"['Intolerant', 'Overbearing']",Yes,Yes,Yes,Pass,Data,,,,,4.0,,,,
302,Cora Klausewitz,15/08/2019,"['Problem Solving', 'Competitive', 'Versatile']","['Slow', 'Sensitive', 'Intolerant']",Yes,Yes,Yes,Pass,Data,3.0,5.0,3.0,3.0,,5.0,1.0,,
303,Gris Brame,14/08/2019,"['Consistent', 'Innovative', 'Rational']","['Slow', 'Anxious']",Yes,Yes,No,Fail,Business,,1.0,4.0,,,4.0,3.0,,
304,Berty Huban,18/07/2019,"['Competitive', 'Listening']","['Passive', 'Anxious']",Yes,Yes,Yes,Pass,Business,2.0,,,,,,,,
305,Matthieu Dulake,31/07/2019,"['Collaboration', 'Creative', 'Rational']",['Introverted'],Yes,Yes,Yes,Pass,Engineering,,1.0,,,,4.0,,,
306,Darwin Sambiedge,10/07/2019,"['Altruism', 'Efficient', 'Critical Thinking']",['Passive'],Yes,Yes,Yes,Fail,Data,,,,,3.0,5.0,1.0,,3.0
307,Sim Bacchus,23/07/2019,['Passionate'],"['Procrastination', 'Stubborn', 'Critical']",Yes,Yes,Yes,Pass,Data,,,,,,,,,6.0
308,Anabal Teese,09/07/2019,"['Curious', 'Passionate', 'Listening']","['Selfish', 'Intolerant', 'Anxious']",Yes,No,Yes,Fail,Business,,2.0,,,,7.0,,,1.0
309,Sybila Bragge,23/07/2019,"['Courteous', 'Altruism', 'Independent']","['Passive', 'Procrastination', 'Introverted']",Yes,No,Yes,Fail,Data,,9.0,2.0,,2.0,,,,5.0
310,Donalt Gummoe,16/07/2019,"['Independent', 'Problem Solving', 'Passionate']","['Conventional', 'Introverted', 'Sensitive']",No,Yes,Yes,Fail,Data,,,3.0,,5.0,4.0,2.0,,
311,Romola Coldtart,17/07/2019,['Reliable'],"['Sensitive', 'Impulsive', 'Conventional']",Yes,Yes,Yes,Pass,Data,1.0,4.0,,,2.0,,,,1.0
312,Shea Chasmoor,17/07/2019,"['Empathy', 'Consistent', 'Patient']","['Passive', 'Impulsive', 'Stubborn']",Yes,Yes,Yes,Fail,Business,,,2.0,,1.0,,,,4.0
313,Nora Akers,24/07/2019,['Organisation'],"['Impatient', 'Sensitive', 'Undisciplined']",Yes,Yes,Yes,Pass,Engineering,,3.0,4.0,,1.0,,,,
314,Sander Rewbottom,25/07/2019,"['Altruism', 'Problem Solving', 'Listening']","['Sensitive', 'Slow']",Yes,Yes,Yes,Pass,Data,2.0,,,4.0,2.0,5.0,1.0,,
315,Francklyn Leyninye,24/07/2019,"['Problem Solving', 'Passionate', 'Altruism']","['Selfish', 'Passive']",Yes,Yes,Yes,Pass,Business,2.0,1.0,3.0,1.0,,,2.0,1.0,
316,Julissa Dumbleton,24/07/2019,['Courteous'],"['Critical', 'Intolerant', 'Controlling']",Yes,Yes,Yes,Pass,Data,,2.0,,,4.0,,5.0,,
317,Zacharias Restorick,11/07/2019,['Curious'],['Intolerant'],Yes,Yes,Yes,Pass,Business,,,2.0,,,,5.0,,
318,Andriana Uc,02/07/2019,['Problem Solving'],['Impatient'],Yes,Yes,Yes,Pass,Business,1.0,,5.0,,,,,,1.0
319,Benita Enefer,11/07/2019,"['Empathy', 'Organisation']",['Distracted'],Yes,Yes,Yes,Pass,Data,,,,,,2.0,,1.0,
320,Isacco Teese,02/07/2019,"['Versatile', 'Critical Thinking']","['Indifferent', 'Immature', 'Stubborn']",Yes,Yes,Yes,Pass,Business,,,,2.0,,8.0,2.0,,
321,Farlee Baalham,16/07/2019,"['Determined', 'Critical Thinking']",['Overbearing'],Yes,No,Yes,Fail,Data,,,,3.0,,,6.0,,1.0
